address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rate_clean,approx_cost_clean,cost_bracket
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,No,No,4.3/5,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari,4.3,400.0,Mid-Tier (₹300 - ₹700)
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0/5,618,"080 48542442
+91 7337271771",Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari,4.0,750.0,Upper-Mid (₹700 - ₹1500)
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0/5,1047,"080 42024092
080 42274242",Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari,4.0,450.0,Mid-Tier (₹300 - ₹700)
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9/5,627,080 40424242,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari,3.9,450.0,Mid-Tier (₹300 - ₹700)
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8/5,104,+91 9845632456,Banashankari,Quick Bites,Not Specified,"Biryani, Fast Food",300,Delivery,Banashankari,3.8,300.0,Mid-Tier (₹300 - ₹700)
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,Yes,Yes,4.2/5,354,"+91 8042111599
+91 8971818009",Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari,4.2,800.0,Upper-Mid (₹700 - ₹1500)
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,No,No,3.6/5,55,080 41716035,Banashankari,Quick Bites,Not Specified,"Fast Food, Burger",200,Delivery,Banashankari,3.6,200.0,Budget (< ₹300)
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,Yes,No,3.7/5,17,+91 9920950331,Banashankari,Dessert Parlor,Not Specified,"Desserts, Beverages",400,Delivery,Banashankari,3.7,400.0,Mid-Tier (₹300 - ₹700)
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,No,No,4.2/5,244,"+91 8042297555
+91 7022455300",Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Delivery,Banashankari,4.2,800.0,Upper-Mid (₹700 - ₹1500)
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,Yes,Yes,3.6/5,163,080 49653548,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari,3.6,800.0,Upper-Mid (₹700 - ₹1500)
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8/5,58,"+91 9845914270
+91 8884889088",Basavanagudi,Quick Bites,Not Specified,Chinese,150,Delivery,Banashankari,3.8,150.0,Budget (< ₹300)
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,No,Yes,4.0/5,808,"080 26791213
+91 9739989446",Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery,Banashankari,4.0,850.0,Upper-Mid (₹700 - ₹1500)
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,No,No,3.7/5,78,080 22977725,Banashankari,"Bakery, Dessert Parlor",Not Specified,Bakery,150,Delivery,Banashankari,3.7,150.0,Budget (< ₹300)
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1/5,1720,080 26570381,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari,4.1,400.0,Mid-Tier (₹300 - ₹700)
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,Yes,No,3.6/5,34,+91 8310555879,Jayanagar,Quick Bites,Not Specified,South Indian,100,Delivery,Banashankari,3.6,100.0,Budget (< ₹300)
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1/5,868,080 49653521,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery,Banashankari,4.1,1200.0,Upper-Mid (₹700 - ₹1500)
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,No,No,3.8/5,39,+91 9916366551,Banashankari,Bakery,Not Specified,"Bakery, Desserts",300,Delivery,Banashankari,3.8,300.0,Mid-Tier (₹300 - ₹700)
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2/5,71,091 8147302939,Basavanagudi,Quick Bites,Not Specified,"Burger, Fast Food, Beverages",600,Delivery,Banashankari,3.2,600.0,Mid-Tier (₹300 - ₹700)
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,Yes,No,3.6/5,6,+91 8042172269,Banashankari,"Takeaway, Delivery",Not Specified,"Italian, North Indian, Biryani",500,Delivery,Banashankari,3.6,500.0,Mid-Tier (₹300 - ₹700)
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1/5,520,+91 7010846043,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery,Banashankari,4.1,300.0,Mid-Tier (₹300 - ₹700)
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,NEW,0,+91 8050884222,Banashankari,Quick Bites,Not Specified,North Indian,150,Delivery,Banashankari,,150.0,Budget (< ₹300)
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,No,No,2.9/5,84,080 65600000,Banashankari,Delivery,Not Specified,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari,2.9,700.0,Mid-Tier (₹300 - ₹700)
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6/5,299,"+91 9071734101
+91 9071496800",Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery,Banashankari,3.6,300.0,Mid-Tier (₹300 - ₹700)
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,No,No,NEW,0,+91 8553206035,Banashankari,"Takeaway, Delivery",Not Specified,"Street Food, Fast Food",500,Delivery,Banashankari,,500.0,Mid-Tier (₹300 - ₹700)
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery,Banashankari,4.1,150.0,Budget (< ₹300)
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,"+91 9980204944
080 26723722",Banashankari,Quick Bites,Not Specified,"Biryani, South Indian",300,Delivery,Banashankari,3.6,300.0,Mid-Tier (₹300 - ₹700)
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,No,No,3.7/5,22,"+91 8050701820
+91 8904733516",Banashankari,Quick Bites,Not Specified,Fast Food,500,Delivery,Banashankari,3.7,500.0,Mid-Tier (₹300 - ₹700)
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8/5,39,"+91 9164571705
080 26760336",Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery,Banashankari,3.8,350.0,Mid-Tier (₹300 - ₹700)
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,"+91 7337681786
+91 7337682786",Vijay Nagar,Fine Dining,Not Specified,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari,3.8,500.0,Mid-Tier (₹300 - ₹700)
